"File","Type","Name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","create_tenant_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","ensure_manage_tenants_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","list_tenants_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","restore_tenant_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","update_tenant_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","index","idx_tenants_status"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","index","tenants_slug_unique_idx"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","alter_table","tournament"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","archive_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","create_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","ensure_manage_tournaments_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","list_tournaments_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","restore_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","function","update_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","index","idx_tournament_status"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","index","idx_tournament_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\007_tournament_management_rpcs.sql","index","tournament_tenant_slug_unique_idx"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","archive_event_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","create_event_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","ensure_manage_event_for_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","list_events_by_tournament_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","restore_event_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","update_event_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","function","validate_event_config_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","index","idx_events_tournament_name_active"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\008_event_management_rpcs.sql","index","idx_events_tournament_status"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","alter_table","account_event_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","function","ensure_manage_event_access_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","function","grant_event_access_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","function","list_event_access_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","function","revoke_event_access_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","index","account_event_permissions_active_permission_uidx"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","index","idx_account_event_permissions_account_active"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\009_event_access_referee_rpcs.sql","index","idx_account_event_permissions_event_active"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","has_event_access"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","p06_require_event_admin_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","p10_has_event_permission_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","p10_require_event_admin_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","p10_require_match_score_context_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","p10_validate_event_context_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","reset_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","update_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\010_business_rpc_context_validation.sql","function","update_match_set_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\011_saas_account_tenant_stability.sql","function","create_tenant_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","alter_table","event_knockout_selections"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","alter_table","events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","alter_table","matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","confirm_knockout_teams_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","generate_knockout_bracket_v1"
